laus_check,type_code,area_code,area_name
NewYork-Newark-JerseyCity,B,MT3635620000000,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Philadelphia-Camden-Wilmington,B,MT4237980000000,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Chicago-Naperville-Elgin,B,MT1716980000000,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
Detroit-Warren-Dearborn,B,MT2619820000000,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area"
Minneapolis-St.Paul-Bloomington,B,MT2733460000000,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area"
St.Louis,B,MT2941180000000,"St. Louis, MO-IL Metropolitan Statistical Area"
Washington-Arlington-Alexandria,B,MT1147900000000,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Miami-FortLauderdale-WestPalmBeach,B,MT1233100000000,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Atlanta-SandySprings-Roswell,B,MT1312060000000,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Tampa-St.Petersburg-Clearwater,B,MT1245300000000,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Baltimore-Columbia-Towson,B,MT2412580000000,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
Dallas-FortWorth-Arlington,B,MT4819100000000,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
Houston-TheWoodlands-SugarLand,B,MT4826420000000,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
Phoenix-Mesa-Scottsdale,B,MT0438060000000,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Denver-Aurora-Lakewood,B,MT0819740000000,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
LosAngeles-LongBeach-Anaheim,B,MT0631080000000,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
SanFrancisco-Oakland-Hayward,B,MT0641860000000,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Riverside-SanBernardino-Ontario,B,MT0640140000000,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
Seattle-Tacoma-Bellevue,B,MT5342660000000,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area"
SanDiego-Carlsbad,B,MT0641740000000,"San Diego-Carlsbad, CA Metropolitan Statistical Area"
